Approved Symbol	Synonyms	Chromosome	Entrez Gene ID	Gene Family Name
PCSK5	PC5, PC6, SPC6	9q21.13	5125	Proprotein convertase subtilisin/kexin
PCSK6	SPC4	15q26	5046	Proprotein convertase subtilisin/kexin
PCSK6-AS1		15q26.3		
PCSK7	PC7, PC8, LPC, SPC7	11q23-q24	9159	Proprotein convertase subtilisin/kexin
PCSK9	NARC-1, FH3	1p32.3	255738	Proprotein convertase subtilisin/kexin
PCTP	STARD2	17q22	58488	StAR-related lipid transfer domain containing
PCYOX1	KIAA0908, PCL1	2p13.3	51449	
PCYOX1L	MGC3265	5q33.1	78991	
PCYT1A	CT, CTPCT	3q29	5130	
PCYT1B	CCT-beta, CTB	Xp22	9468	
PCYT1B-AS1		Xp22.11		
PCYT2	ET	17q25.3	5833	
PDAP1	PAP1, PAP, HASPP28	7q	11333	
PDB1		6p21.3	5131	
PDB4		5q31	94003	
PDB5		2q36		
PDB6		10p13		
PDC	MEKA	1q25.2	5132	
PDCD1	CD279, PD1, hSLE1, PD-1	2q37.3	5133	CD molecules|V-set domain containing
PDCD1LG2	PD-L2, Btdc, PDL2, bA574F11.2, CD273, B7-DC	9p24.2	80380	CD molecules|Immunoglobulin-like domain containing|Endogenous ligands
PDCD2	ZMYND7, RP8	6q27	5134	Zinc fingers, MYND-type
PDCD2L	MGC13096	19q13.11	84306	
PDCD4	H731	10q24	27250	
PDCD4-AS1		10q25.2	282997	
PDCD5	TFAR19, MGC9294	19q13.11	9141	
PDCD5P1		12p12.3	100527946	
PDCD5P2		5q13.3	100527947	
PDCD6	ALG-2, PEF1B	5p15.33	10016	EF-hand domain containing
PDCD6IP	Alix, AIP1, Hp95	3p22.3	10015	
PDCD6IPP1		15q11.2	100861430	
PDCD6IPP2		15q13.1	646278	
PDCD7	HES18, ES18	15q22.2	10081	
PDCD10	TFAR15	3q26.1	11235	
PDCD11	KIAA0185, ALG-4, RRP5	10q24.32	22984	Minor histocompatibility antigens
PDCL	PhLP, DKFZp564M1863	9q12-q13	5082	
PDCL2	GCPHLP	4q12	132954	
PDCL2P1		Xp22.11	653707	
PDCL2P2		11q13.1		
PDCL3	VIAF1	2q12	79031	
PDCL3P1		8q12.1	392225	
PDCL3P2		8q22.3	643831	
PDCL3P3		3p24.3	100132683	
PDCL3P4		3q12.3	285359	
PDCL3P5		6q25.1	644850	
PDCL3P6		1p32.3	100419023	
PDCL3P7		12q14.3	390340	
PDDC1	FLJ34283	11p15.5	347862	
PDE1A		2q32.1		Phosphodiesterases
PDE1B		12q13		Phosphodiesterases
PDE1C	Hcam3	7p15.1-p14.3	5137	Phosphodiesterases
PDE2A		11q13.1-q14.1	5138	Phosphodiesterases
PDE3A	CGI-PDE	12p12.2	5139	Phosphodiesterases
PDE3B	HcGIP1	11p15.2	5140	Phosphodiesterases
PDE4A		19p13.2	5141	Phosphodiesterases
PDE4B		1p31	5142	Phosphodiesterases
PDE4C		19p13.11	5143	Phosphodiesterases
PDE4D		5q12	5144	Phosphodiesterases
PDE4DIP	KIAA0477, KIAA0454, MMGL	1q21.1	9659	
PDE4DIPP1		1q21.2	728920	
PDE5A		4q27	8654	Phosphodiesterases
PDE6A	RP43	5q31.2-q34	5145	Phosphodiesterases
PDE6B	CSNB3, rd1, RP40, CSNBAD2	4p16.3	5158	Phosphodiesterases
PDE6C	PDEA2, ACHM5, COD4	10q24	5146	Phosphodiesterases
PDE6D	JBTS22	2q35-q36	5147	Phosphodiesterases
PDE6G	RP57	17q21.1	5148	Phosphodiesterases
PDE6H		12p13	5149	Phosphodiesterases
PDE7A	HCP1	8q13	5150	Phosphodiesterases
PDE7B		6q23-q24	27115	Phosphodiesterases
PDE8A	HsT19550	15q25.3	5151	Phosphodiesterases
PDE8B		5q14.1	8622	Phosphodiesterases
PDE9A		21q22.3	5152	Phosphodiesterases
PDE10A		6q26	10846	Phosphodiesterases
PDE11A		2q31.3	50940	Phosphodiesterases
PDE12	DKFZp667B1218, 2'-PDE	3p14.3	201626	
PDF		16q22.1	64146	
PDGFA	PDGF1, PDGF-A	7p22	5154	
PDGFB	SSV	22q13.1	5155	
PDGFC	SCDGF, fallotein	4q32	56034	
PDGFD	SCDGF-B, MSTP036, IEGF	11q22.3	80310	
PDGFRA	CD140a, PDGFR2, GAS9	4q12	5156	I-set domain containing|CD molecules|Receptor Tyrosine Kinases
PDGFRB	JTK12, CD140b, PDGFR1	5q33.1	5159	I-set domain containing|CD molecules|Immunoglobulin-like domain containing|Receptor Tyrosine Kinases
PDGFRL	PRLTS	8p22-p21.3	5157	I-set domain containing|Immunoglobulin-like domain containing
PDHA1		Xp22.1	5160	
PDHA1P1		3p14.3	100132534	
PDHA2		4q22-q23	5161	
PDHB		3p21.1-p14.2	5162	
PDHX	E3BP, proX, PDX1, OPDX, DLDBP	11p13	8050	
PDIA2	PDA2, PDI, PDIR	16p13.3	64714	Protein disulfide isomerases
PDIA3	P58, ERp61, ERp57, ERp60, GRP57, PI-PLC, HsT17083	15q15	2923	Protein disulfide isomerases
PDIA3P1	GRP58P	1q21.1	171423	
PDIA3P2		15q15.3		
PDIA4	ERP70, ERP72	7q35	9601	Protein disulfide isomerases
PDIA5	PDIR, FLJ30401	3q21.1	10954	Protein disulfide isomerases
PDIA6	P5, ERp5	2p25.1	10130	Protein disulfide isomerases
PDIK1L	CLIK1L	1p35.1	149420	
PDILT	PDIA7	16p12.3	204474	Protein disulfide isomerases
PDK1		2q31.1	5163	
PDK1P1		9p21.1	100421194	
PDK2	PDHK2	17q21.33	5164	
PDK3		Xp22.12	5165	
PDK4		7q21.3-q22.1	5166	
PDLIM1	CLP-36, hCLIM1, CLP36	10q23.1	9124	
PDLIM1P1		14q21.3	326616	
PDLIM1P2		17p11.2	100419426	
PDLIM1P3		17q11.1	100419427	
PDLIM1P4		3q12.1	100419185	
PDLIM2		8p21.3	64236	
PDLIM3	ALP	4q35	27295	
PDLIM4	RIL	5q31.1	8572	
PDLIM5	LIM, Enh	4q22	10611	
PDLIM7	ENIGMA	5q35.3	9260	
PDP1	PDP, PDH, PPM2A	8q22.1	54704	Protein phosphatases, Mg2+/Mn2+ dependent
PDP2	KIAA1348, PPM2C2, PPM2B	16q22.1	57546	Protein phosphatases, Mg2+/Mn2+ dependent
PDPK1	PDK1	16p13.3	5170	
PDPK2P		16p13.3	653650	
PDPN	T1A-2, Gp38, aggrus, GP40, PA2.26	1p36.21	10630	
PDPR	PDP3	16q22.1	55066	
PDR		Xp22-p21	5171	
PDRG1	dJ310O13.3	20q11.21	81572	
PDS5A	KIAA0648, PIG54, SCC-112	4p14	23244	
PDS5B	AS3, KIAA0979, FLJ23236, CG008	13q12.3	23047	
PDSS1	TPT, COQ1	10p12.2	23590	
PDSS1P1		9p24.1	100129248	
PDSS1P2		2p21 not on reference assembly	100996500	
PDSS2	bA59I9.3	6q21	57107	
PDX1	IDX-1, STF-1, PDX-1, MODY4	13q12.1	3651	HOXL subclass homeoboxes
PDX1-AS1		13q12.2		
PDXDC1	KIAA0251	16p13.11	23042	
PDXDC2P	DKFZp761H1120	16q22.1	283970	
PDXK	PNK, PKH, FLJ21324, PRED79, FLJ31940, MGC15873	21q22.3	8566	
PDXP	dJ37E16.5, FLJ32703, CIN	22q12.3	57026	HAD Asp-based protein phosphatases
PDYN	PENKB, ADCA	20p13	5173	Endogenous ligands
PDZD2	KIAA0300	5p14.1	23037	
PDZD3	FLJ22756, IKEPP	11q23.3	79849	
PDZD4	KIAA1444, LU1, FLJ34125, PDZRN4L	Xq28	57595	
PDZD7	FLJ23209, bA108L7.8	10q24.32	79955	
PDZD8	bA129M16.2, FLJ34427	10q26.12	118987	
PDZD9	MGC50721	16p12.1	255762	
PDZD11		Xq13.1	51248	
PDZK1	PDZD1, NHERF3	1q21	5174	
PDZK1IP1	DD96, MAP17, SPAP	1p33	10158	
PDZK1P1	OTTHUMT00000038524, OTTHUMG00000074107	1q21.2	100034743	
PDZPH1P		5q21.2		
PDZRN3	KIAA1095, SEMACAP3, LNX3	3p14.1	23024	Ring finger proteins
PDZRN3-AS1		3p13	101927249	
PDZRN4	DKFZp434B0417, LNX4, FLJ33777, IMAGE5767589	12q12	29951	Ring finger proteins
PEA15	HMAT1, MAT1, PED, PEA-15, MAT1H, HUMMAT1H	1q21.1	8682	Death effector domain containing
PEAK1	KIAA2002, sgk269	15q24.3	79834	
PEAR1	JEDI, FLJ00193	1q23.1	375033	
PEBP1	RKIP, HCNP, PEBP	12q24	5037	
PEBP1P1		14q32.2	326614	
PEBP1P2		2p11.2	647307	
PEBP1P3		1q31.3	100129570	
PEBP4	MGC22776, CORK1, hPEBP4	8p21.3	157310	
PECAM1	CD31	17q23.3	5175	CD molecules|Immunoglobulin-like domain containing
PECR	HSA250303, TERP, SDR29C1	2q35	55825	Short chain dehydrogenase/reductase superfamily
PEE1		4q25-qter	5177	
PEF1	PEF1A	1p34	553115	EF-hand domain containing
PEG3	ZKSCAN22, KIAA0287, ZNF904, ZSCAN24	19q13.4	5178	Zinc fingers, C2H2-type
PEG3-AS1	APEG3, NCRNA00155	19q13.43	100169890	
PEG10	KIAA1051, HB-1, MEF3L, RGAG3, Mar2, Mart2	7q21	23089	
PEG13		8q24.3		Long non-coding RNAs
PELI1		2p13.3	57162	Pellino E3 ubiquitin protein ligases
PELI2		14q21	57161	Pellino E3 ubiquitin protein ligases
PELI3	MGC35521	11q13.2	246330	Pellino E3 ubiquitin protein ligases
PELO		5q11.2	53918	
PELP1	MNAR	17p13.2	27043	
PEMT	PEMPT, PEMT2	17p11.2	10400	
PENK		8q12.1	5179	Endogenous ligands
PEPB		12q21	5182	
PEPC		1q25	5183	
PEPD		19q13.11	5184	
PEPE		17	5185	
PER1	RIGUI	17p13.1	5187	
PER2	KIAA0347	2q37.3	8864	
PER3		1p36.23	8863	
PERM1	MGC13275, RP11-54O7.8, Perm1	1p36.33	84808	
PERP	PIGPC1, dJ496H19.1, KCP1, THW, KRTCAP1	6q24	64065	
PES1	PES	22q12.1	23481	
PES1P1		4q28.3	345016	
PES1P2		9p23	347193	
PET100		19p13.2	100131801	
PET117		20p11.23	100303755	
PEX1		7q21.2	5189	AAA ATPases (ATPases associated with diverse cellular activities)|Peroxins
PEX2	PMP35, PAF-1, RNF72, ZWS3	8q21.11	5828	Ring finger proteins|Peroxins
PEX3		6q24.2	8504	Peroxins
PEX5	PTS1R	12p13.31	5830	Tetratricopeptide repeat domain containing|Peroxins
PEX5L	PEX5R, PXR2, TRIP8b	3q27.1	51555	Tetratricopeptide repeat domain containing
PEX5L-AS1		3q26.33		
PEX5L-AS2		3q26.33	101928790	
PEX6	PXAAA1, PAF-2	6p22-p11	5190	AAA ATPases (ATPases associated with diverse cellular activities)|Peroxins
PEX7	PTS2R, RD	6q21-q22.2	5191	WD repeat domain containing|Peroxins
PEX10	RNF69	1p36.32	5192	Ring finger proteins|Peroxins
PEX11A	PEX11-ALPHA, MGC119947, MGC138534	15q26.1	8800	Peroxins
PEX11B		1q21.1	8799	Peroxins
PEX11G		19p13.2	92960	Peroxins
PEX12		17q21.1	5193	Peroxins
PEX12P1		13q31.3	121727	
PEX13		2p16.1	5194	Peroxins
PEX14		1p36.22	5195	Peroxins
PEX16		11p11.2	9409	Peroxins
PEX19	HK33, D1S2223E, PMP1, PMPI, PXMP1	1q22	5824	Peroxins
PEX26	FLJ20695	22q11.21	55670	Peroxins
PF4	SCYB4, CXCL4	4q12-q21	5196	
PF4V1	SCYB4V1, CXCL4V1, CXCL4L1	4q12-q21	5197	
PFAS	PURL, FGARAT, KIAA0361	17p13.1	5198	
PFDN1	PFD1	5q31	5201	Prefoldin subunits
PFDN2		1q23.3	5202	Prefoldin subunits
PFDN4	PFD4, C-1, C1	20q13.2	5203	Prefoldin subunits
PFDN5	PFD5, MM-1	12q13.13	5204	Prefoldin subunits
PFDN6	KE-2, H2-KE2, PFD6	6p21.3	10471	Prefoldin subunits
PFKFB1		Xp11.21	5207	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases
PFKFB2		1q31-q32.2	5208	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases
PFKFB3		10p15.1	5209	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases
PFKFB4		3p22-p21	5210	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases
PFKL		21q22.3	5211	
PFKM	PFK-1, PPP1R122	12q13.11	5213	Protein phosphatase 1 regulatory subunits
PFKP	PFK-C, PFKF	10p15.3-p15.2	5214	
PFM3		4q21-q23		
PFN1		17p13.2	5216	
PFN1P1		1q24.3	730138	
PFN1P2	COAS3	1p11.2	767846	
PFN1P3		1q21.2	200025	
PFN1P4		1q21.2	767851	
PFN1P6		1q21.1	645126	
PFN1P8		1q21.1		
PFN1P9		1p12	767850	
PFN1P10		1p36.12	767853	
PFN1P11		10q24.32		
PFN1P12		1q21.2	647569	
PFN2		3q25.1	5217	
PFN3		5q35.2	345456	
PFN4		2p24.1	375189	
PGA3		11q13	643834	
PGA4		11q13	643847	
PGA5		11q13	5222	
PGAM1	PGAM-B	10q25.3	5223	Bisphosphoglycerate phosphatases
PGAM1P1		5q11.2	100130514	
PGAM1P2		9p13.3	392310	
PGAM1P3		3p22.1		
PGAM1P4		3p25.3	391508	
PGAM1P5		12q22	100132594	
PGAM1P6		2p23.3	100420567	
PGAM1P7		Xp11.23	100420650	
PGAM1P8		11q13.1		
PGAM1P9		11q14.3	100420681	
PGAM1P10		6q13	100420633	
PGAM1P11		1p36.22	100420660	
PGAM1P12		15q26.2	390643	
PGAM1P13		8q23.1	100129815	
PGAM2	PGAM-M	7p13-p12	5224	Bisphosphoglycerate phosphatases
PGAM3P	dJ1128N12.1	20p12.2	170535	
PGAM4	dJ1000K24.1, PGAM3, PGAM-B, PGAM1	Xq21.1	441531	Bisphosphoglycerate phosphatases
PGAM4P1		Xp11.22	100421178	
PGAM4P2		4q26	100131611	
PGAM5	MGC5352, BXLBv68	12q24.33	192111	Serine/threonine phosphatases
PGAM5P1		5q21.3	100421133	
PGAP1	FLJ12377, Bst1, SPG67	2q33.1	80055	
PGAP2	FRAG1, CWH43-N	11p15.4	27315	
PGAP3	MGC9753, CAB2, PP1498, PER1	17q21.2	93210	
PGBD1	HUCEP-4, dJ874C20.4, SCAND4	6p22.1	84547	
PGBD2		1q		
PGBD3	FLJ90201	10q11	267004	
PGBD3P1		12q13.12	267005	
PGBD3P2		5p13.3	267006	
PGBD3P3		12q24.2	267007	
PGBD3P4		4p14	267008	
PGBD4	FLJ32638, FLJ37497	15q13.1	161779	
PGBD4P1		7q34		
PGBD4P2		20q13.12	100421228	
PGBD4P3		5q32	100421136	
PGBD4P4		4q28.3	100421146	
PGBD4P5		2p11.2	100421123	
PGBD4P6		Xq27.3	100421180	
PGBD4P7		1p21.3	100421182	
PGBD4P8		1p32.1	100421185	
PGBD5	DKFZp761A0620, FLJ11413	1q42.13	79605	
PGC		6p21.1	5225	
PGCP1		1p13.2	441897	
PGD		1p36.22	5226	
PGDP1		18q12.1	342705	
PGDP2		12q21.2	100129649	
PGF	PLGF, PlGF-2, PlGF, SHGC-10760, D12S1900	14q24.3	5228	
PGGT1B	GGTI, BGGI	5q23.1	5229	
PGGT1BP1		10q11.23	653895	
PGGT1BP2		10q22.3	100132402	
PGK1		Xq13.3	5230	
PGK1P1		Xq12	5231	
PGK1P2		19p13.2	5233	
PGK2	PGKPS, PGK-2	6p12.3	5232	
PGLS	6PGL	19p13.2	25796	
PGLYRP1	TAG7, PGRP, PGRP-S, PGRPS	19q13.32	8993	
PGLYRP2	PGRP-L, PGLYRPL, TAGL-like, tagL, tagL-alpha, tagl-beta, PGRPL	19p13.12	114770	
PGLYRP3	PGRPIA, PGLYRPIalpha, PGRP-Ialpha	1q21	114771	
PGLYRP4	SBBI67, PGRPIB, PGLYRPIbeta, PGRP-Ibeta	1q21	57115	
PGM1		1p22.1	5236	
PGM2	FLJ10983	4p14	55276	
PGM2L1	FLJ32029, BM32A	11q13.3	283209	
PGM3	AGM1, DKFZP434B187, PAGM	6q14.1-q15	5238	
PGM5	PGMRP	9q13	5239	
PGM5-AS1	FAM233A	9q21.11	572558	
PGM5P1		9q12 not on reference assembly	653394	
PGM5P2		9q12	595135	
PGM5P3		9p24.3	101929157	
PGM5P3-AS1	FAM233B	9p24.3	101929127	
PGM5P4		2q13		
PGM5P4-AS1	FAM233C	2q14.1	103344932	
PGP		16p13.3	283871	
PGPEP1	PGP-I, Pcp, PGP, PGPI	19p13.11	54858	
PGPEP1L		15q26.3	145814	
PGR	PR, NR3C3	11q22-q23	5241	Nuclear hormone receptors
PGRMC1	HPR6.6	Xq22-q24	10857	
PGRMC2	PMBP, DG6	4q26	10424	
PGS1	DKFZP762M186	17q25.3	9489	
PHACTR1	KIAA1733, dJ257A7.2	6p23	221692	Phosphatase and actin regulators
PHACTR2	KIAA0680	6q24.1	9749	Phosphatase and actin regulators
PHACTR2-AS1		6q24.2	285740	
PHACTR2P1		10q26.11	100533676	
PHACTR3	PPP1R123	20q13.32-q13.33	116154	Phosphatase and actin regulators|Protein phosphatase 1 regulatory subunits
PHACTR4	FLJ13171, PPP1R124	1p35.2	65979	Phosphatase and actin regulators|Protein phosphatase 1 regulatory subunits
PHAX	FLJ13193	5q23.2	51808	
PHB	PHB1	17q21	5245	
PHB2	REA, BCAP37, Bap37, p22	12p13	11331	
PHB2P1		10q25.1	645318	
PHBP1		6q25	5246	
PHBP2		11p11.2	100418837	
PHBP3		1p32.1	391044	
PHBP4		2q24.1	100418774	
PHBP5		7q11.23		
PHBP6		7q11.23		
PHBP7		9q21.33	548599	
PHBP8		3q13.33	100418804	
PHBP9		10q24.31	100289414	
PHBP10		Xq22.3	100418815	
PHBP11		1q41	644214	
PHBP12		1p32.3	100418820	
PHBP13		13q13.3	100418843	
PHBP14		4q32.3		
PHBP15		7q11.23	100873752	
PHBP16		11q21	100128102	
PHBP17		11q24.1		
PHBP18		12q13.11	390311	
PHBP19		12q13.13	494150	
PHBP20		15q24.1	100130579	
PHBP21		16q12.2	390730	
PHC1	HPH1, RAE28	12p13	1911	Sterile alpha motif (SAM) domain containing
PHC1P1		12q13.2	653441	
PHC2	HPH2	1p34.3	1912	Sterile alpha motif (SAM) domain containing
PHC3	EDR3, FLJ12967, FLJ12729, HPH3	3q26.32	80012	Sterile alpha motif (SAM) domain containing
PHEX	PEX, HPDR1, HYP1, XLH	Xp22.2-p22.1	5251	
PHEX-AS1		Xp22.11		
PHF1	MTF2L2, TDRD19C	6p21.3	5252	PHD finger proteins|Tudor domain containing
PHF2	KIAA0662, JHDM1E, CENP-35	9q22	5253	Lysine (K)-specific demethylases|PHD finger proteins
PHF2P1	DKFZp686A1627	13q11	266695	
PHF2P2		13q12.11		
PHF3		6q12	23469	PHD finger proteins
PHF5A	MGC1346, SF3b14b, INI, bK223H9.2, Rds3, SAP14b, SF3B7	22q13.2	84844	PHD finger proteins
PHF5CP		19p12	450232	
PHF5DP		3q13.2	450238	
PHF5EP		3p21.31	450239	
PHF5FP		Xq23	450246	
PHF5GP		2q24.3	450234	
PHF5HP		15q26.3	450250	
PHF6	KIAA1823, MGC14797, CENP-31	Xq26	84295	PHD finger proteins
PHF7	NYD-SP6, HSPC226	3p21.31	51533	PHD finger proteins
PHF8	ZNF422, KIAA1111, JHDM1F	Xp11.22	23133	Lysine (K)-specific demethylases|PHD finger proteins
PHF10	FLJ10975, XAP135, BAF45a	6q27	55274	PHD finger proteins
PHF10P1	XAP135P	Xq28	158905	
PHF11	NY-REN-34, BCAP, IGER	13q14.11	51131	PHD finger proteins
PHF12	PF1, KIAA1523	17q11.2	57649	PHD finger proteins
PHF13	MGC43399	1p36.23	148479	PHD finger proteins
PHF14	KIAA0783	7p21.3	9678	PHD finger proteins
PHF19	DKFZP727G051, PCL3, MTF2L1, TDRD19B	9q34.11	26147	PHD finger proteins|Tudor domain containing
PHF20	dJ1121G12.1, TDRD20A	20q11.22-q11.23	51230	PHD finger proteins|Tudor domain containing
PHF20L1	CGI-72, FLJ13649, MGC64923, FLJ21615, TDRD20B	8q24.22	51105	PHD finger proteins|Tudor domain containing
PHF21A	BHC80, KIAA1696, BM-006	11p11.2	51317	PHD finger proteins
PHF21B	BHC80L, FLJ34161	22q13.31	112885	PHD finger proteins
PHF23	MGC2941, FLJ16355	17p13.1	79142	PHD finger proteins
PHF24		9p13.2	23349	PHD finger proteins
PHGDH	SERA, PGDH, PDG	1p12	26227	
PHGR1		15q15.1	644844	
PHIP	ndrp, FLJ20705, DCAF14, BRWD2	6q14	55023	WD repeat domain containing|DDB1 and CUL4 associated factors
PHKA1		Xq12-q13	5255	
PHKA1-AS1		Xq13.2	100506671	
PHKA1P1		1p22.2	646780	
PHKA2		Xp22.2-p22.1	5256	
PHKA2-AS1		Xp22.13	100132163	
PHKB		16q12-q13	5257	
PHKBP1		20p12.3-p12.2	5258	
PHKBP2		14q13.3	5259	
PHKG1		7p11.2	5260	
PHKG1P1		7q11.21	643941	
PHKG1P2		7q11.21	644032	
PHKG1P3	PHKg1ps2	11p11.12	5262	
PHKG1P4		7p11.2	100151641	
PHKG2		16p11.2	5261	
PHLDA1	TDAG51, DT1P1B11, PHRIP	12q15	22822	
PHLDA2	IPL, BWR1C, HLDA2	11p15.4	7262	Pleckstrin homology domain containing
PHLDA3	TIH1	1q31	23612	
PHLDB1	FLJ00141, LL5a, KIAA0638	11q23.3	23187	Pleckstrin homology domain containing
PHLDB2	LL5beta, FLJ21791, LL5b	3q13.13	90102	Pleckstrin homology domain containing
PHLDB3	FLJ40193	19q13.31	653583	Pleckstrin homology domain containing
PHLPP1	KIAA0606, SCOP, PPM3A	18q21.32	23239	Pleckstrin homology domain containing|Protein phosphatases, Mg2+/Mn2+ dependent
PHLPP2	KIAA0931, PPM3B	16q22.2	23035	Pleckstrin homology domain containing|Protein phosphatases, Mg2+/Mn2+ dependent
PHOSPHO1		17q21.32	162466	HAD Asp-based non-protein phosphatases
PHOSPHO2	MGC22679	2q31.1	493911	HAD Asp-based non-protein phosphatases
PHOX2A	PMX2A, CFEOM2	11q13.4	401	PRD class homeoboxes and pseudogenes
PHOX2B	Phox2b, NBPhox	4p13	8929	PRD class homeoboxes and pseudogenes
PHPT1	PHP14, HSPC141, CGI-202, DKFZp564M173, bA216L13.10	9q34.3	29085	Protein phosphatases
PHRF1	KIAA1542, PPP1R125	11p15.5	57661	PHD finger proteins|Ring finger proteins|Protein phosphatase 1 regulatory subunits
PHTF1		1p13.2	10745	
PHTF2	DKFZp434D166	7q11.23-q21.11	57157	
PHYH	PAHX, RD, PHYH1	10p13	5264	
PHYHD1	MGC16638	9q34.13	254295	
PHYHIP	KIAA0273, PAHX-AP	8p21.2	9796	
PHYHIPL	KIAA1796, Em:AC025038.1	10q21.1	84457	Fibronectin type III domain containing
PHYKPL	MGC15875	5q35.3	85007	
PI3	ESI, SKALP, ELAFIN, WAP3, WFDC14, cementoin	20q13.12	5266	WAP four-disulfide core domain containing
PI4K2A	PI4KII, DKFZP761G1923, PIK42A	10q24	55361	
PI4K2B	PI4KIIB, FLJ11105, PIK42B	4p15.31	55300	Minor histocompatibility antigens
PI4KA	PI4K-ALPHA, pi4K230	22q11.21	5297	
PI4KAP1		22q11.21	728233	
PI4KAP2		22q11.21	375133	
PI4KB	PI4K-BETA, pi4K92	1q21	5298	
PI15	P25TI	8q13.3	51050	
PI16	MGC45378, dJ90K10.5, MSMBBP, CD364	6p21.31	221476	CD molecules
PIANP	DKFZp547D2210, PANP	12p13.31	196500	
PIAS1	GBP, GU/RH-II, ZMIZ3	15q23	8554	Zinc fingers, MIZ-type
PIAS2	PIASX-BETA, miz, PIASX-ALPHA, ZMIZ4	18q21.1	9063	Zinc fingers, MIZ-type
PIAS3	FLJ14651, ZMIZ5	1q21	10401	Zinc fingers, MIZ-type
PIAS4	Piasg, PIASY, FLJ12419, ZMIZ6	19p13.3	51588	Zinc fingers, MIZ-type
PIBF1	CEP90	13q21.33	10464	
PICALM	CALM, CLTH	11q14	8301	
PICK1	dJ1039K5, MGC15204	22q13.1	9463	
PID1	NYGGF4, FLJ20701	2q36.3	55022	
PIDD1	MGC16925, DKFZp434D229	11p15.5	55367	
PIEZO1	KIAA0233	16q24.3	9780	
PIEZO1P1	bA164D18.1	20q13.32	128615	
PIEZO1P2		20q13.32		
PIEZO2	FLJ23403, FLJ23144, HsT748, HsT771, FLJ34907	18p11.21	63895	
PIF1	FLJ22692	15q22.1	80119	DNA helicases
PIFO	FLJ23853, pitchfork	1p13.2	128344	
PIGA	GPI3	Xp22.1	5277	Glycosyl transferases group 1 domain containing|Phosphatidylinositol glycan anchor biosynthesis
PIGAP1		12q21	5278	
PIGB		15q21.3	9488	Dolichyl D-mannosyl phosphate dependent mannosyltransferases|Phosphatidylinositol glycan anchor biosynthesis
PIGBOS1		15q21.3	101928527	
PIGC		1q23-q25	5279	Phosphatidylinositol glycan anchor biosynthesis
PIGCP1		11p13	5280	
PIGCP2		7q31.1	100128307	
PIGF		2p21-p16	5281	Phosphatidylinositol glycan anchor biosynthesis
PIGFP1		5q35	5282	
PIGFP2		9q33.3	100422349	
PIGFP3		Xp21.2	100129049	
PIGG	FLJ20265, GPI7, LAS21	4p16.3	54872	Phosphatidylinositol glycan anchor biosynthesis
PIGH	GPI-H	14q24.1	5283	Phosphatidylinositol glycan anchor biosynthesis
PIGHP1		15q22.2	644761	
PIGK	hGPI8, GPI8	1p31.1	10026	Phosphatidylinositol glycan anchor biosynthesis
PIGL		17p11.2	9487	Phosphatidylinositol glycan anchor biosynthesis
PIGM	GPI-MT-I	1q23.2	93183	Dolichyl D-mannosyl phosphate dependent mannosyltransferases|Phosphatidylinositol glycan anchor biosynthesis
PIGN	MDC4, PIG-N	18q21.33	23556	Phosphatidylinositol glycan anchor biosynthesis
PIGO	DKFZp434M222, FLJ00135	9p13.2	84720	Phosphatidylinositol glycan anchor biosynthesis
PIGP	DCRC, DSRC	21q22.2	51227	Phosphatidylinositol glycan anchor biosynthesis
PIGPP1		2p15		
PIGPP2		1p31.3		
PIGPP3		20q11.22	100128033	
PIGPP4		18p11.22		
PIGQ	hGPI1, GPI1	16p13.3	9091	Phosphatidylinositol glycan anchor biosynthesis
PIGQP1		1p32.2		
PIGR		1q31-q41	5284	V-set domain containing
PIGS		17p13.2	94005	Phosphatidylinositol glycan anchor biosynthesis
PIGT		20q13.12	51604	Phosphatidylinositol glycan anchor biosynthesis
PIGU	bA346K17.2, GAB1	20q11.22	128869	Phosphatidylinositol glycan anchor biosynthesis
PIGUP1		9q21.12	100422342	
PIGV	FLJ20477	1p36.11	55650	Dolichyl D-mannosyl phosphate dependent mannosyltransferases|Phosphatidylinositol glycan anchor biosynthesis
PIGW	Gwt1, FLJ37433	17q21.1	284098	Phosphatidylinositol glycan anchor biosynthesis
PIGX	FLJ20522	3q29	54965	Phosphatidylinositol glycan anchor biosynthesis
PIGY	MGC14156	4q22.1	84992	Phosphatidylinositol glycan anchor biosynthesis
PIGZ	FLJ12768, MGC52163, SMP3	3q29	80235	Dolichyl D-mannosyl phosphate dependent mannosyltransferases|Phosphatidylinositol glycan anchor biosynthesis
PIH1D1	FLJ20643	19q13.33	55011	
PIH1D2		11q23.1	120379	
PIH1D3	MGC35261, NYSAR97	Xq22.3	139212	
PIK3AP1	BCAP, FLJ35564	10q24.2	118788	
PIK3C2A	PI3K-C2alpha	11p15.5-p14	5286	Phosphatidylinositol 3-kinase subunits
PIK3C2B	C2-PI3K, PI3K-C2beta	1q32	5287	Phosphatidylinositol 3-kinase subunits
PIK3C2G		12p12	5288	Phosphatidylinositol 3-kinase subunits
PIK3C3	Vps34	18q12.3	5289	Phosphatidylinositol 3-kinase subunits
